Hotel_Name,Price,Rating,Reviews,City,Rating_status
HOTEL AIRPORT INN ONE,2352,4.3,77,Ahmedabad,Low
"Hotel Royal Stay, Pakwan Sg Highway",2631,7.3,250,Ahmedabad,Medium
Neelkanth Inn,1462,6.4,65,Ahmedabad,Medium
Gulmohar Greens Golf & Country Club,7615,9,5065,Ahmedabad,High
FabHotel Dreamland SP Ring Road,1965,8.2,1344,Ahmedabad,High
"Saarus 17 - Farm Stay Villa @ Kensville Golf and Country Club, Dev Dholera, Dist. Ahmedabad",7147,9.5,14,Ahmedabad,High
Four Points by Sheraton Ahmedabad,11970,8.7,9035,Ahmedabad,High
Hotel Lux Inn,2199,8.8,602,Ahmedabad,High
BK's Villa at Kensville Golf Club,8338,9.3,18,Ahmedabad,High
OYO 4938 Hotel Dev Aadi,2498,8.2,803,Ahmedabad,High
New Full Furnished Entire 2 BHK with WFH space,4908,9.3,25,Ahmedabad,High
Hotel Kamran Palace,1704,6.2,25,Ahmedabad,Medium
Krios Hotel,3270,7.4,189,Ahmedabad,Medium
Hyatt Regency Ahmedabad,19470,8.8,18774,Ahmedabad,High
The Westend,4402,7.4,51,Ahmedabad,Medium
Hotel Shree Sai Palace,1181,7.5,12,Ahmedabad,Medium
Barcelona Exotica,2888,8.2,63,Ahmedabad,High
Hotel Skylon,3606,8.3,819,Ahmedabad,High
OYO 42047 Hotel Skyland,1628,7.7,12,Ahmedabad,Medium
Lemon Tree Premier The Atrium,11091,8.9,8579,Ahmedabad,High
Architect own house for vacation “Baggee’s House”,10569,9.1,12,Ahmedabad,High
French Haveli,4568,8.7,785,Ahmedabad,High
Sky Stays Skyland,2094,7.6,845,Ahmedabad,Medium
Parth Palace,3844,7.5,7,Ahmedabad,Medium
Shailly Inn,2397,8.3,944,Ahmedabad,High
The Royal Plaza,2835,5.9,7,Ahmedabad,Medium
Hotel Mivaante,2590,9,396,Ahmedabad,High
Hotel Royal Plaza,1243,7.3,29,Ahmedabad,Medium
Hotel Lemon,3693,8.3,56,Ahmedabad,High
Satluj,1164,7.4,30,Ahmedabad,Medium
Chandra Palace,1909,8.7,5,Ahmedabad,High
OYO 30468 Hotel Rr,1740,8.4,456,Ahmedabad,High
Abode ! A suramya place to live-in,9962,9.4,43,Ahmedabad,High
OYO 893 Hotel Seven,1378,6.9,34,Ahmedabad,Medium
Rajdeep Inn,2755,7.6,2626,Ahmedabad,Medium
"The House of MG-A Heritage Hotel, Ahmedabad",11831,8.9,4984,Ahmedabad,High
Skyland Villa,2099,8.2,218,Ahmedabad,High
New Balaji,1974,7.6,328,Ahmedabad,Medium
Hotel Airport Residency,5632,7.1,180,Ahmedabad,Medium
GOLF VIEW AASHNA VILLA @ KALHAAR BLUES & GREENS,12538,9.5,7,Ahmedabad,High
OYO 22374 Hotel Navjivan,4199,6.1,204,Ahmedabad,Medium
Pragati The Grand,4126,8.3,798,Ahmedabad,High
OYO 8992 Hotel Kyra,1753,5.6,125,Ahmedabad,Medium
Oyo 36963 Keyur Hotel & Restaurant,2911,5.1,37,Ahmedabad,Medium
The Ummed Ahmedabad Airport,8520,8.3,5670,Ahmedabad,High
Hotel Moscow,2053,7.8,18,Ahmedabad,Medium
OYO 12229 Hotel Sarvagya,4491,7.8,101,Ahmedabad,Medium
The Hillock Ahmedabad,6825,9.4,4583,Ahmedabad,High
Dimple International,1547,7,51,Ahmedabad,Medium
Private Room with Private Entry at Thaltej Metro,3752,9.1,6,Ahmedabad,High
Hotel Sigma Inn,3048,8.8,42,Ahmedabad,High
Sigma Inn by Sky Stays,2458,7.6,45,Ahmedabad,Medium
Hotel Shri Krishna Palace,2399,7,7,Ahmedabad,Medium
"Lemon Tree Premier, The Atrium, Ahmedabad",8189,8.8,8860,Ahmedabad,High
Apollo,1729,8.9,315,Ahmedabad,High
"Fortune Select SG Highway, Ahmedabad - Member ITC's Hotel Group",17109,8.8,10054,Ahmedabad,High
Hotel Madhur,3437,9.1,47,Ahmedabad,High
Hotel Unity,3227,8,2984,Ahmedabad,High
OYO 9591 Hotel Neel Kamal,3678,8.4,90,Ahmedabad,High
Hotel Darshan Sp Ring Road,2050,8,2362,Ahmedabad,High
Ganesh Banquet,1947,7.8,267,Ahmedabad,Medium
Cg Plaza,6066,8.4,10,Ahmedabad,High
OYO 11650 Hotel Grand Apple,3894,8,54,Ahmedabad,High
Narayni Heights,4963,8.3,9172,Ahmedabad,High
Oyo 36139 Hotel Sunway,1984,5.8,320,Ahmedabad,Medium
Hill Park,1763,8.6,341,Ahmedabad,High
Hotel Maruthi,3473,7.4,48,Ahmedabad,Medium
Satellite Inn,2658,7.9,24,Ahmedabad,Medium
Kensville Golf Living,10939,7.7,65,Ahmedabad,Medium
Crown,2477,8.3,415,Ahmedabad,High
Dodhia Haveli,4666,8,79,Ahmedabad,High
Orange Inn,11368,8.3,71,Ahmedabad,High
Airport Inn,1975,4.1,9,Ahmedabad,Low
Goroomgo The Crown Ahmedabad,6005,8.2,121,Ahmedabad,High
Mysa Zinc Journey By The Fern Nanidevati,9799,9,93,Ahmedabad,High
The President,10007,8.2,2156,Ahmedabad,High
"ITC Narmada, a Luxury Collection Hotel, Ahmedabad",22420,9.3,6531,Ahmedabad,High
Oyo 49797 Hotel Shubham Inn,1627,7,508,Ahmedabad,Medium
River Front Property,19205,9.7,11,Ahmedabad,High
Hotel Platinum Inn,4100,8.2,2943,Ahmedabad,High
Pearl of Heaven The Hotel,3155,6.8,15,Ahmedabad,Medium
Atithi The Hotel,1464,8.3,1019,Ahmedabad,High
DoubleTree by Hilton Ahmedabad,21860,8.9,6903,Ahmedabad,High
Hotel Platinum Residency,5215,8.4,2509,Ahmedabad,High
Hotel Kanak Comfort,2657,7.2,32,Ahmedabad,Medium
Liberty,17636,5.9,21,Ahmedabad,Medium
Ginger Ahmedabad Changodar,4409,,0,Ahmedabad,No Rating
Hotel Gk Villa,1114,,0,Ahmedabad,No Rating
Hotel allen,3150,,0,Ahmedabad,No Rating
Silver Inn,1607,,0,Ahmedabad,No Rating
FabHotel Amantra,2107,,0,Ahmedabad,No Rating
HOTEL SURY VILLA,1994,,0,Ahmedabad,No Rating
Hotel Stay Inn,1418,,0,Ahmedabad,No Rating
Hotel Pulse,1364,,0,Ahmedabad,No Rating
Hotel Prime 24,1224,,0,Ahmedabad,No Rating
The Grand Shivay,2249,,0,Ahmedabad,No Rating
Hotel Kanan,3149,,0,Ahmedabad,No Rating
Ramdevgarh Resort Ghuma,2341,,0,Ahmedabad,No Rating
Hotel Privilon,1628,,0,Ahmedabad,No Rating
Hotel O Naroda GIDC Formerly Yuvraj,1472,,0,Ahmedabad,No Rating
Hotel Nova Blue,1155,,0,Ahmedabad,No Rating
FabHotel Vishala Inn,1540,,0,Ahmedabad,No Rating
FabHotel NY Townhouse,2084,,0,Ahmedabad,No Rating
Ebony Residency Ahmedabad,5512,,0,Ahmedabad,No Rating
Hotel RV Residency,1975,,0,Ahmedabad,No Rating
Hotel Royal Town,3360,,0,Ahmedabad,No Rating
Hotel Avenue Sky,1994,,0,Ahmedabad,No Rating
FabHotel SR Naroda - Nr Akshardham,2252,,0,Ahmedabad,No Rating
Hotel Shagun Inn,1134,,0,Ahmedabad,No Rating
